年,月,隸屬區,里數,鄰數,戶數,男,女,合計
113,9,板橋區,126,2515,229120,267933,286218,554151
113,9,三重區,119,2564,163906,187083,196253,383336
113,9,中和區,93,2998,175686,195026,211102,406128
113,9,永和區,62,1249,93057,100894,113104,213998
113,9,新莊區,84,1842,170387,205495,218235,423730
113,9,新店區,69,1482,137447,146136,160215,306351
113,9,土城區,47,1236,96220,117808,123347,241155
113,9,蘆洲區,38,727,75957,97049,101678,198727
113,9,樹林區,42,1039,69193,88925,90406,179331
113,9,鶯歌區,20,434,34750,44535,44705,89240
113,9,三峽區,28,608,46218,57362,57956,115318
113,9,淡水區,42,703,94815,94551,104453,199004
113,9,汐止區,50,1141,96758,102016,108379,210395
113,9,瑞芳區,34,426,15978,18415,18100,36515
113,9,五股區,20,515,38798,46607,47191,93798
113,9,泰山區,17,466,30449,38159,39464,77623
113,9,林口區,17,443,56696,65530,69903,135433
113,9,八里區,10,195,18123,21083,21362,42445
113,9,深坑區,8,239,10116,11705,11888,23593
113,9,石碇區,12,107,3344,3873,3230,7103
113,9,坪林區,7,78,2558,3417,2935,6352
113,9,三芝區,13,254,9910,11321,10726,22047
113,9,石門區,9,124,4238,5468,5030,10498
113,9,金山區,15,201,7341,9951,10198,20149
113,9,萬里區,10,186,7663,10319,10443,20762
113,9,平溪區,12,120,2132,2289,1782,4071
113,9,雙溪區,12,244,3541,4228,3499,7727
113,9,貢寮區,11,202,4246,5481,5303,10784
113,9,烏來區,5,43,1910,3042,3216,6258
總計,,,1032,22381,1700557,1965701,2080321,4046022
