年份,月份,行政區,里數_現有門牌數值,里數_戶籍登記,鄰數_現有門牌,鄰數_戶籍登記,戶數,人口數_合計數量,人口數_男數量,人口數_女數量
111,1,  總計 ,456,456,9598,9572,1050027,2514425,1197417,1317008
111,1,  松山區 ,33,33,765,762,79780,192511,90081,102430
111,1,  信義區 ,41,41,910,905,87525,206209,97951,108258
111,1,  大安區 ,53,53,1026,1021,119093,290419,135471,154948
111,1,  中山區 ,42,42,871,869,99227,214563,99484,115079
111,1,  中正區 ,31,31,583,582,64885,149962,71337,78625
111,1,  大同區 ,25,25,525,521,51975,120224,58198,62026
111,1,  萬華區 ,36,36,722,722,78412,175961,85994,89967
111,1,  文山區 ,43,43,1005,1002,107016,260641,124536,136105
111,1,  南港區 ,20,20,456,456,47696,115384,56230,59154
111,1,  內湖區 ,39,39,916,916,109711,275847,131412,144435
111,1,  士林區 ,51,51,996,995,106931,268608,129518,139090
111,1,  北投區 ,42,42,823,821,97776,244096,117205,126891
111,2,  總計 ,456,456,9598,9572,1048177,2504597,1192907,1311690
111,2,  松山區 ,33,33,765,762,79567,191481,89637,101844
111,2,  信義區 ,41,41,910,905,87338,205343,97566,107777
111,2,  大安區 ,53,53,1026,1021,118920,289649,135113,154536
111,2,  中山區 ,42,42,871,869,98869,213203,98864,114339
111,2,  中正區 ,31,31,583,582,64755,149338,71048,78290
111,2,  大同區 ,25,25,525,521,51943,119885,58019,61866
111,2,  萬華區 ,36,36,722,722,78324,175373,85706,89667
111,2,  文山區 ,43,43,1005,1002,106892,259768,124136,135632
111,2,  南港區 ,20,20,456,456,47657,115009,56052,58957
111,2,  內湖區 ,39,39,916,916,109537,274842,130918,143924
111,2,  士林區 ,51,51,996,995,106814,267597,129102,138495
111,2,  北投區 ,42,42,823,821,97561,243109,116746,126363
111,3,  總計 ,456,456,9598,9571,1045646,2490445,1186053,1304392
111,3,  松山區 ,33,33,765,762,79257,189961,88894,101067
111,3,  信義區 ,41,41,910,905,87129,204052,96971,107081
111,3,  大安區 ,53,53,1026,1021,118634,288292,134510,153782
111,3,  中山區 ,42,42,871,869,98589,211945,98259,113686
111,3,  中正區 ,31,31,583,582,64491,148249,70520,77729
111,3,  大同區 ,25,25,525,521,51797,119188,57653,61535
111,3,  萬華區 ,36,36,722,721,78173,174390,85213,89177
111,3,  文山區 ,43,43,1005,1002,106637,258278,123384,134894
111,3,  南港區 ,20,20,456,456,47492,114285,55673,58612
